,Title,Company,Location,Salary,Duration,PostingDate
69,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago
70,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
71,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
72,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago
73,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
74,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago
75,Software Engineer - AI Trainer,DataAnnotation,Remote,,$30 - $35 an hour,EmployerActive 2 days ago
76,Associate Data Scientist,Fifth Third Bank,Remote,,"$81,000 - $154,200 a year",PostedToday
77,Data Scientist,Verizon,"Remote in Basking Ridge, NJ",Estimated $127K - $161K a year,Full-time,PostedToday
78,"Data Scientist, Clinical Analytics",Spring Health,"Remote in New York, NY",Estimated $119K - $151K a year,,PostedPosted 21 days ago
79,Data Analyst/Scientist,"PrimePay, LLC",Remote,,"$60,000 - $85,000 a year",PostedPosted 8 days ago •75+ applications in progress
80,Senior AI/ML Data Engineer,The Princeton Review,Remote,,"$115,000 - $160,000 a year",EmployerActive 1 day ago
81,Environmental Data Scientist I,Battelle,"Remote in Boulder, CO",,"$75,000 - $80,000 a year",PostedPosted 5 days ago •75+ applications in progress
82,Data Scientist,Live Nation,Remote,,Full-time,PostedPosted 30+ days ago
83,Climate Data Scientist,ClimateAI,Remote,Estimated $121K - $153K a year,,PostedToday
84,Senior Data Analyst,Maven Clinic,"Remote in New York, NY",,"$150,000 - $170,000 a year",PostedPosted 22 days ago •75+ applications in progress
85,"Data Scientist, Sr","Pathward, N.A.",Remote,Estimated $119K - $151K a year,,PostedPosted 5 days ago •75+ applications in progress
86,"Sr. Data Scientist, Content",Pinterest,"Remote in San Francisco, CA",Estimated $168K - $213K a year,,PostedPosted 11 days ago
87,Senior Data Analyst,Zipongo,Remote,,"$120,000 - $180,000 a year",PostedToday •75+ applications in progress
88,(5) Data Analyst / Data Scientist,TRA'BIAN ENTERPRISES,Remote,Estimated $80K - $101K a year,Contract,PostedPosted 30+ days ago •75+ applications in progress
89,Jr. Data Scientist,Kyla,"Remote in San Jose, CA",Estimated $87.6K - $111K a year,Full-time,PostedPosted 30+ days ago •75+ applications in progress
